speed =  0 ['10000001', '00000000', '00000000', '00000000']
speed =  1 ['10000001', '00000011', '00000000', '00000000']
speed =  2 ['10000001', '00000000', '00000001', '00000001']
speed =  3 ['10000001', '00000011', '00000001', '00000001']
speed =  4 ['10000001', '00000000', '00000010', '00000010']
speed =  5 ['10000001', '00000011', '00000010', '00000010']
speed =  6 ['10000001', '00000000', '00000011', '00000011']
speed =  7 ['10000001', '00000011', '00000011', '00000011']
speed =  8 ['10000001', '00000000', '00000100', '00000100']
speed =  9 ['10000001', '00000011', '00000100', '00000100']
speed =  10 ['10000001', '00000000', '00000101', '00000101']
speed =  11 ['10000001', '00000011', '00000101', '00000101']
speed =  12 ['10000001', '00000000', '00000110', '00000110']
speed =  13 ['10000001', '00000011', '00000110', '00000110']
speed =  14 ['10000001', '00000000', '00000111', '00000111']
speed =  15 ['10000001', '00000011', '00000111', '00000111']
speed =  16 ['10000001', '00000000', '00001000', '00001000']
speed =  17 ['10000001', '00000011', '00001000', '00001000']
speed =  18 ['10000001', '00000000', '00001001', '00001001']
speed =  19 ['10000001', '00000011', '00001001', '00001001']
speed =  20 ['10000001', '00000000', '00001010', '00001010']
speed =  21 ['10000001', '00000011', '00001010', '00001010']
speed =  22 ['10000001', '00000000', '00001011', '00001011']
speed =  23 ['10000001', '00000011', '00001011', '00001011']
speed =  24 ['10000001', '00000000', '00001100', '00001100']
speed =  25 ['10000001', '00000011', '00001100', '00001100']
speed =  26 ['10000001', '00000000', '00001101', '00001101']
speed =  27 ['10000001', '00000011', '00001101', '00001101']
speed =  28 ['10000001', '00000000', '00001110', '00001110']
speed =  29 ['10000001', '00000011', '00001110', '00001110']
speed =  30 ['10000001', '00000000', '00001111', '00001111']
speed =  31 ['10000001', '00000011', '00001111', '00001111']
speed =  32 ['10000001', '00000000', '00010000', '00010000']
speed =  33 ['10000001', '00000011', '00010000', '00010000']
speed =  34 ['10000001', '00000000', '00010001', '00010001']
speed =  35 ['10000001', '00000011', '00010001', '00010001']
speed =  36 ['10000001', '00000000', '00010010', '00010010']
speed =  37 ['10000001', '00000011', '00010010', '00010010']
speed =  38 ['10000001', '00000000', '00010011', '00010011']
speed =  39 ['10000001', '00000011', '00010011', '00010011']
speed =  40 ['10000001', '00000000', '00010100', '00010100']
speed =  41 ['10000001', '00000011', '00010100', '00010100']
speed =  42 ['10000001', '00000000', '00010101', '00010101']
speed =  43 ['10000001', '00000011', '00010101', '00010101']
